time,milliseconds,measurement,value,field,type,host,device,platform
15:46:36:62,18837,IMU,-258,ax,acceleration,Name,Device1,Android
15:46:36:62,18837,IMU,1505,ay,acceleration,Name,Device1,Android
15:46:36:62,18837,IMU,410,az,acceleration,Name,Device1,Android
15:46:36:84,18860,IMU,-47,gx,gyration,Name,Device1,Android
15:46:36:84,18860,IMU,67,gy,gyration,Name,Device1,Android
15:46:36:84,18860,IMU,-19,gz,gyration,Name,Device1,Android
15:46:36:107,18882,IMU,1634,mx,magnet,Name,Device1,Android
15:46:36:107,18882,IMU,-5993,my,magnet,Name,Device1,Android
15:46:36:107,18882,IMU,3894,mz,magnet,Name,Device1,Android
15:46:36:130,18905,sensor,193,a0,adc,Name,Device1,Android
15:46:36:158,18933,IMU,483,ax,acceleration,Name,Device1,Android
15:46:36:158,18933,IMU,881,ay,acceleration,Name,Device1,Android
15:46:36:158,18933,IMU,72,az,acceleration,Name,Device1,Android
15:46:36:174,18949,IMU,-51,gx,gyration,Name,Device1,Android
15:46:36:174,18949,IMU,250,gy,gyration,Name,Device1,Android
15:46:36:174,18949,IMU,2,gz,gyration,Name,Device1,Android
15:46:36:198,18973,IMU,1493,mx,magnet,Name,Device1,Android
15:46:36:198,18973,IMU,-6046,my,magnet,Name,Device1,Android
15:46:36:198,18973,IMU,3511,mz,magnet,Name,Device1,Android
15:46:36:220,18995,sensor,109,a0,adc,Name,Device1,Android
15:46:36:243,19018,IMU,308,ax,acceleration,Name,Device1,Android
15:46:36:243,19018,IMU,691,ay,acceleration,Name,Device1,Android
15:46:36:243,19018,IMU,-472,az,acceleration,Name,Device1,Android
15:46:36:265,19040,IMU,-38,gx,gyration,Name,Device1,Android
15:46:36:265,19040,IMU,202,gy,gyration,Name,Device1,Android
15:46:36:265,19040,IMU,21,gz,gyration,Name,Device1,Android
15:46:36:287,19062,IMU,1413,mx,magnet,Name,Device1,Android
15:46:36:287,19062,IMU,-6028,my,magnet,Name,Device1,Android
15:46:36:287,19062,IMU,3104,mz,magnet,Name,Device1,Android
